name;slug;description;parent_id;active;sort_order;is_visible
Oral Care Products;beauty-personal-care-oral-care-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True
Perfumes & Fragrances;beauty-personal-care-perfumes-fragrances;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True
Personal Care Products;beauty-personal-care-personal-care-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True
Shaving & Hair Removal Products;beauty-personal-care-shaving-hair-removal-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True
Skin Care Products;beauty-personal-care-skin-care-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True
Arts & Photography;books-arts-photography;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Biographies;books-biographies;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Business & Money;books-business-money;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Calendars;books-calendars;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Children's Books;books-children's-books;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Christian Books & Bibles;books-christian-books-bibles;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Comics & Graphic Novels;books-comics-graphic-novels;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Computers & Technology;books-computers-technology;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Cookbooks, Food & Wine;books-cookbooks-food-wine;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Crafts, Hobbies & Home;books-crafts-hobbies-home;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Education & Teaching;books-education-teaching;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Engineering & Transportation;books-engineering-transportation;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Health, Fitness & Dieting;books-health-fitness-dieting;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
History;books-history;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Humor & Entertainment;books-humor-entertainment;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Law;books-law;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
LGBTQ+ Books;books-lgbtq-books;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Literature & Fiction;books-literature-fiction;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Medical Books;books-medical-books;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Mystery, Thriller & Suspense;books-mystery-thriller-suspense;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Parenting & Relationships;books-parenting-relationships;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Politics & Social Sciences;books-politics-social-sciences;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Reference;books-reference;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Religion & Spirituality;books-religion-spirituality;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Romance;books-romance;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Science & Math;books-science-math;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Science Fiction & Fantasy;books-science-fiction-fantasy;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Self-Help;books-self-help;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Specialty Boutique;books-specialty-boutique;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Sports & Outdoors;books-sports-outdoors;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Teen & Young Adult Books;books-teen-young-adult-books;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Test Preparation;books-test-preparation;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Travel;books-travel;;7e0e1e9d-fd3e-4f85-a8af-9fd287d2b7cf;True;0;True
Music Styles;cds-vinyl-music-styles;;6a8ffdaf-aca6-4c82-b4bb-6f966d235a68;True;0;True
Cell Phone Accessories;cell-phones-accessories-cell-phone-accessories;;07e844ad-065a-4810-988f-1a25ba4cfbb5;True;0;True
Cell Phone Cases & Covers;cell-phones-accessories-cell-phone-cases-covers;;07e844ad-065a-4810-988f-1a25ba4cfbb5;True;0;True
Cell Phone SIM Cards & Prepaid Minutes;cell-phones-accessories-cell-phone-s?m-cards-prepaid-minutes;;07e844ad-065a-4810-988f-1a25ba4cfbb5;True;0;True
Cell Phones;cell-phones-accessories-cell-phones;;07e844ad-065a-4810-988f-1a25ba4cfbb5;True;0;True
Baby Clothing & Shoes;clothing-shoes-jewelry-baby-clothing-shoes;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Boys' Fashion;clothing-shoes-jewelry-boys-fashion;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Costumes & Accessories;clothing-shoes-jewelry-costumes-accessories;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Girls' Fashion;clothing-shoes-jewelry-girls-fashion;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Luggage & Travel Gear;clothing-shoes-jewelry-luggage-travel-gear;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Men's Fashion;clothing-shoes-jewelry-mens-fashion;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Novelty & More;clothing-shoes-jewelry-novelty-more;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Shoe, Jewelry & Watch Accessories;clothing-shoes-jewelry-shoe-jewelry-watch-accessories;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Sport Specific Clothing;clothing-shoes-jewelry-sport-specific-clothing;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Uniforms, Work & Safety;clothing-shoes-jewelry-uniforms-work-safety;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Women's Fashion;clothing-shoes-jewelry-women's-fashion;;c137dbb2-810e-4c54-a610-80babc5e176a;True;0;True
Audio Headphones;electronics-audio-headphones;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Camera & Photo;electronics-camera-photo;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Cell Phones & Accessories;electronics-cell-phones-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Computers & Accessories;electronics-computers-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
eBook Readers & Accessories;electronics-ebook-readers-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Electronics Accessories & Supplies;electronics-electronics-accessories-supplies;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
GPS, Finders & Accessories;electronics-gps-finders-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Headphones, Earbuds & Accessories;electronics-headphones-earbuds-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Home Audio & Theater Products;electronics-home-audio-theater-products;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Household Batteries, Chargers & Accessories;electronics-household-batteries-chargers-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Portable Audio & Video;electronics-portable-audio-video;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Power Accessories;electronics-power-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Security & Surveillance Equipment;electronics-security-surveillance-equipment;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Televisions & Video Products;electronics-televisions-video-products;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Vehicle Electronics;electronics-vehicle-electronics;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Video Game Consoles & Accessories;electronics-video-game-consoles-accessories;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Video Projectors;electronics-video-projectors;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Wearable Technology;electronics-wearable-technology;;5ef4ac23-1072-4ba1-baa5-31f7bca89909;True;0;True
Alcoholic Beverages;grocery-gourmet-food-alcoholic-beverages;;637efea1-7674-4fd2-b93e-7ac382ae6bda;True;0;True
Beverages;grocery-gourmet-food-beverages;;637efea1-7674-4fd2-b93e-7ac382ae6bda;True;0;True
Breads & Bakery;grocery-gourmet-food-breads-bakery;;637efea1-7674-4fd2-b93e-7ac382ae6bda;True;0;True
Breakfast Foods;grocery-gourmet-food-breakfast-foods;;637efea1-7674-4fd2-b93e-7ac382ae6bda;True;0;True
Candy & Chocolate;grocery-gourmet-food-candy-chocolate;;637efea1-7674-4fd2-b93e-7ac382ae6bda;True;0;True
Dairy, Cheese & Eggs;grocery-gourmet-food-dairy-cheese-eggs;;637efea1-7674-4fd2-b93e-7ac382ae6bda;True;0;True
