name;slug;description;parent_id;active;sort_order;is_visible
Advent Calendars;home-kitchen-seasonal-decor-advent-calendars;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Area Rugs, Runners & Pads;home-kitchen-home-decor-products-area-rugs,-runners-pads;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Artificial Grass;patio-lawn-garden-outdoor-decor-artificial-grass;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Artificial Plants & Flowers;home-kitchen-home-decor-products-artificial-plants-flowers;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Artificial Snow;home-kitchen-seasonal-decor-artificial-snow;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Backyard Birding & Wildlife;patio-lawn-garden-outdoor-decor-backyard-birding-wildlife;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Candles & Candleholders;home-kitchen-home-decor-products-candles-candleholders;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Christmas Candleholders;home-kitchen-seasonal-decor-christmas-candleholders;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Collectible Buildings;home-kitchen-seasonal-decor-christmas-collectible-buildings;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Collectible Figurines;home-kitchen-seasonal-decor-christmas-collectible-figurines;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Nutcrackers;home-kitchen-seasonal-decor-christmas-nutcrackers;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Ornaments;home-kitchen-seasonal-decor-christmas-ornaments;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Snow Globes;home-kitchen-seasonal-decor-christmas-snow-globes;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Stockings & Holders;home-kitchen-seasonal-decor-christmas-stockings-holders;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Tree Skirts;home-kitchen-seasonal-decor-christmas-tree-skirts;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Tree Stands;home-kitchen-seasonal-decor-christmas-tree-stands;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Tree Toppers;home-kitchen-seasonal-decor-christmas-tree-toppers;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Trees;home-kitchen-seasonal-decor-christmas-trees;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Christmas Wreaths, Garlands & Swags;home-kitchen-seasonal-decor-christmas-wreaths,-garlands-swags;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Clocks;home-kitchen-home-decor-products-clocks;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Decorative Address Signs;patio-lawn-garden-outdoor-decor-decorative-address-signs;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Decorative Fences;patio-lawn-garden-outdoor-decor-decorative-fences;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Decorative Garden Stakes;patio-lawn-garden-outdoor-decor-decorative-garden-stakes;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Decorative Garden Stools;patio-lawn-garden-outdoor-decor-decorative-garden-stools;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Decorative Mailbox Accessories;patio-lawn-garden-outdoor-decor-decorative-mailbox-accessories;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Decorative Seasonal Bows & Ribbons;home-kitchen-seasonal-decor-decorative-seasonal-bows-ribbons;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Dried & Preserved Flora;home-kitchen-home-decor-products-dried-preserved-flora;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Flagpole Hardware;patio-lawn-garden-outdoor-decor-flagpole-hardware;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Garage Door Decorations;patio-lawn-garden-outdoor-decor-garage-door-decorations;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Garden Bridges;patio-lawn-garden-outdoor-decor-garden-bridges;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Garden Hardscaping Materials;patio-lawn-garden-outdoor-decor-garden-hardscaping-materials;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Garden Sculptures & Statues;patio-lawn-garden-outdoor-decor-garden-sculptures-statues;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Holiday Tree Care & Watering;home-kitchen-seasonal-decor-holiday-tree-care-watering;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Holiday Tree Trays & Mats;home-kitchen-seasonal-decor-holiday-tree-trays-mats;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Home Decor Accents;home-kitchen-home-decor-products-home-decor-accents;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Home Fragrance Products;home-kitchen-home-decor-products-home-fragrance-products;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Indoor Fountains & Accessories;home-kitchen-home-decor-products-indoor-fountains-accessories;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Kids Backpacks & Lunch Boxes;toys-games-kids'-furniture-decor-kids-backpacks-lunch-boxes;;5c0cb5d3-0341-4d7a-bccf-b1c97d825561;True;0;True
Kids Room Decor;home-kitchen-home-decor-products-kids-room-decor;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Mailbox Covers;patio-lawn-garden-outdoor-decor-mailbox-covers;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Mirrors;home-kitchen-home-decor-products-mirrors;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Nativity Sets & Figures;home-kitchen-seasonal-decor-nativity-sets-figures;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Nursery Decor;baby-products-nursery-furniture-bedding-decor-nursery-decor;;02a355e7-2b49-441d-a54c-5f5ee1bbb64d;True;0;True
Nursery Furniture;baby-products-nursery-furniture-bedding-decor-nursery-furniture;;02a355e7-2b49-441d-a54c-5f5ee1bbb64d;True;0;True
Oil Lamps & Accessories;home-kitchen-home-decor-products-oil-lamps-accessories;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Ornament Hooks;home-kitchen-seasonal-decor-ornament-hooks;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Outdoor Clocks;patio-lawn-garden-outdoor-decor-outdoor-clocks;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Curtains;patio-lawn-garden-outdoor-decor-outdoor-curtains;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Decorative Lighting;patio-lawn-garden-outdoor-decor-outdoor-decorative-lighting;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Doormats;patio-lawn-garden-outdoor-decor-outdoor-doormats;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Flags & Banners;patio-lawn-garden-outdoor-decor-outdoor-flags-banners;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Fountain Accessories;patio-lawn-garden-outdoor-decor-outdoor-fountain-accessories;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Fountains;patio-lawn-garden-outdoor-decor-outdoor-fountains;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Hanging Brackets;patio-lawn-garden-outdoor-decor-outdoor-hanging-brackets;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Holiday Decorations;patio-lawn-garden-outdoor-decor-outdoor-holiday-decorations;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Plaques & Wall Art;patio-lawn-garden-outdoor-decor-outdoor-plaques-wall-art;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Rugs;patio-lawn-garden-outdoor-decor-outdoor-rugs;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Outdoor Shepherds Hooks;patio-lawn-garden-outdoor-decor-outdoor-shepherds-hooks;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Photo Albums & Accessories;home-kitchen-home-decor-products-photo-albums-accessories;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Photo Albums, Frames & Accessories;home-kitchen-home-decor-products-photo-albums,-frames-accessories;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Pond Equipment;patio-lawn-garden-outdoor-decor-pond-equipment;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Rain Chains;patio-lawn-garden-outdoor-decor-rain-chains;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Rugs, Pads & Protectors;home-kitchen-home-decor-products-rugs,-pads-protectors;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Seasonal Lighting;home-kitchen-seasonal-decor-seasonal-lighting;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Seasonal Tinsel;home-kitchen-seasonal-decor-seasonal-tinsel;;f682d077-a645-4b45-bf76-6134db59dc83;True;0;True
Slipcovers;home-kitchen-home-decor-products-slipcovers;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Tapestries;home-kitchen-home-decor-products-tapestries;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Thermometers & Weather Instruments;patio-lawn-garden-outdoor-decor-thermometers-weather-instruments;;3ce24aa7-d42f-4dc9-a085-50357eb34a88;True;0;True
Toy Chests & Storage;toys-games-kids'-furniture-decor-toy-chests-storage;;5c0cb5d3-0341-4d7a-bccf-b1c97d825561;True;0;True
Under Door Draft Stoppers;home-kitchen-home-decor-products-under-door-draft-stoppers;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Vase Fillers;home-kitchen-home-decor-products-vase-fillers;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
Vases;home-kitchen-home-decor-products-vases;;bd15f438-3fc4-430b-9d62-52ebc40fa63d;True;0;True
