id;name;slug;description;parent_id;active;sort_order;is_visible;b
d0f2f118-6ac9-4b36-b186-16cf352a5fe8;Heavy Duty & Commercial Vehicle Equipment;automotive-heavy-duty-commercial-vehicle-equipment;;918d87af-5484-4c36-a278-0e29b73e8b3a;True;0;True;d0f2f118-6ac9-4b36-b186-16cf352a5fe8
ec15b48d-095d-4f6a-9342-2767ef6e4efb;Lights, Bulbs & Indicators;automotive-lights-bulbs-?ndicators;;918d87af-5484-4c36-a278-0e29b73e8b3a;True;0;True;ec15b48d-095d-4f6a-9342-2767ef6e4efb
6c8afc88-6651-477b-9e66-30c6ed40fd65;Motorcycle & Powersports;automotive-motorcycle-powersports;;918d87af-5484-4c36-a278-0e29b73e8b3a;True;0;True;6c8afc88-6651-477b-9e66-30c6ed40fd65
873121a2-4e20-4b86-93c4-e7a4e48b7b07;Oils & Fluids;automotive-oils-fluids;;918d87af-5484-4c36-a278-0e29b73e8b3a;True;0;True;873121a2-4e20-4b86-93c4-e7a4e48b7b07
7700307a-ba90-4e65-a16a-83af13b40f69;RV Parts & Accessories;automotive-rv-parts-accessories;;918d87af-5484-4c36-a278-0e29b73e8b3a;True;0;True;7700307a-ba90-4e65-a16a-83af13b40f69
56299941-773a-4083-a2ed-3ee2650e085b;Baby & Toddler Feeding  Supplies;baby-products-baby-toddler-feeding--supplies;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;56299941-773a-4083-a2ed-3ee2650e085b
170d7dbd-f1fd-41b9-8bcf-30d0a4e38bdf;Baby Activity & Entertainment Products;baby-products-baby-activity-entertainment-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;170d7dbd-f1fd-41b9-8bcf-30d0a4e38bdf
400c494b-b734-4f76-9c43-e0b8e0400697;Baby Bathing & Skin Care;baby-products-baby-bathing-skin-care;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;400c494b-b734-4f76-9c43-e0b8e0400697
225b758f-48b3-4e60-a7ea-0d0365e83a85;Baby Care Products;baby-products-baby-care-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;225b758f-48b3-4e60-a7ea-0d0365e83a85
56021dda-dcb8-4869-b3e9-d62c0ce328c4;Baby Diapering Products;baby-products-baby-diapering-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;56021dda-dcb8-4869-b3e9-d62c0ce328c4
1477345b-30b1-4ca9-b987-d234e811a4d2;Baby Gifts;baby-products-baby-gifts;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;1477345b-30b1-4ca9-b987-d234e811a4d2
46eeb4bb-d495-43a5-9e43-d62d9e323178;Baby Health & Care Products;baby-products-baby-health-care-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;46eeb4bb-d495-43a5-9e43-d62d9e323178
3a0682e1-19be-4d0b-96bb-82aeac13434e;Baby Safety Products;baby-products-baby-safety-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;3a0682e1-19be-4d0b-96bb-82aeac13434e
d6cdd205-99ce-4d91-821e-05707e3bdc84;Baby Stationery;baby-products-baby-stationery;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;d6cdd205-99ce-4d91-821e-05707e3bdc84
5db9f21b-ac64-4205-95df-3263f41cac66;Baby Strollers & Accessories;baby-products-baby-strollers-accessories;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;5db9f21b-ac64-4205-95df-3263f41cac66
1a23e900-29e8-4497-b9ba-7f815e100817;Baby Travel Gear;baby-products-baby-travel-gear;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;1a23e900-29e8-4497-b9ba-7f815e100817
75d5f67d-5d4b-4670-9c37-47d0fd02f812;Child Safety Car Seats & Accessories;baby-products-child-safety-car-seats-accessories;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;75d5f67d-5d4b-4670-9c37-47d0fd02f812
02a355e7-2b49-441d-a54c-5f5ee1bbb64d;Nursery Furniture, Bedding & Decor;baby-products-nursery-furniture-bedding-decor;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;02a355e7-2b49-441d-a54c-5f5ee1bbb64d
7c7ed82a-d2fb-4ebe-b8ed-d72ad8179e3c;Pregnancy & Maternity Products;baby-products-pregnancy-maternity-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;7c7ed82a-d2fb-4ebe-b8ed-d72ad8179e3c
fdfbbd48-fbb5-44bf-a412-0e53a9577855;Toilet Training Products;baby-products-toilet-training-products;;d498c3d1-3b6e-4c29-b80d-763360552855;True;0;True;fdfbbd48-fbb5-44bf-a412-0e53a9577855
ff2346fc-ccec-477a-92cf-b71d2d9b5b2e;Beauty Tools & Accessories;beauty-personal-care-beauty-tools-accessories;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True;ff2346fc-ccec-477a-92cf-b71d2d9b5b2e
1d274bca-7e55-48ec-8f59-4ca50eecd934;Foot, Hand & Nail Care Products;beauty-personal-care-foot-hand-nail-care-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True;1d274bca-7e55-48ec-8f59-4ca50eecd934
f882d5b6-cb06-46d0-98a7-77de9182393d;Hair Care Products;beauty-personal-care-hair-care-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True;f882d5b6-cb06-46d0-98a7-77de9182393d
f3756d9a-6e28-4dac-a51c-63da28fe4f5b;Makeup;beauty-personal-care-makeup;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True;f3756d9a-6e28-4dac-a51c-63da28fe4f5b
77859c56-0b04-460a-bddf-f4cd34559420;Oral Care Products;beauty-personal-care-oral-care-products;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True;77859c56-0b04-460a-bddf-f4cd34559420
bc1d1b2f-b777-4fbd-b6c2-e2aa31a94e66;Perfumes & Fragrances;beauty-personal-care-perfumes-fragrances;;3f6ff319-6208-4485-b743-ce3c5e9e8cff;True;0;True;bc1d1b2f-b777-4fbd-b6c2-e2aa31a94e66
