id;name;slug;description;parent_id;active;sort_order;is_visible;OK
5eac3f1d-cb21-45f7-833b-382ed8246845;Construction Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-construction-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
3e981935-73da-43eb-aa7d-61a05f0c53e3;Decorative Craft Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-decorative-craft-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
a83fdc03-3ce0-4e5c-a8ef-cc6ea82d7b6c;Kraft Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-kraft-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
0fc31ced-f29e-49fd-aacd-e1c1561a6adc;Metallic Paper & Foil;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-metallic-paper-foil;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
a742613b-ea8f-470f-a5aa-2527d187fdfe;Multimedia Surfaces;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-multimedia-surfaces;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
17a127bc-de05-4633-8abd-a21cd9f75511;Origami Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-origami-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
75b4eb20-3a86-45a6-a14e-7ebc67c56c42;Paper Ribbon & Raffia;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-paper-ribbon-raffia;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
56072e46-7759-4de0-be59-e9c41c2d5b35;Parchment Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-parchment-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
f95febe7-c0f4-4737-b0fd-b0c93e6e5502;Printmaking Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-printmaking-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
eff24cfa-3682-4bab-a81f-1d29868a1ddd;Transfer Paper;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-craft-paper-transfer-paper;;8398a345-8276-48ff-b1d3-3a91103b875a;True;0;True;
ebc8bbed-0cfe-4cf3-9ba6-8949fa1ebdec;Embossers;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-embossing-supplies-embossers;;df06dc40-0387-4577-9770-dc108755045b;True;0;True;
5f1a63e3-ebe9-4de9-a878-98d716749ad9;Embossing Accessories;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-embossing-supplies-embossing-accessories;;df06dc40-0387-4577-9770-dc108755045b;True;0;True;
ebeb6ad3-18f5-4bbc-9562-a601525d43a2;Embossing Folders;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-embossing-supplies-embossing-folders;;df06dc40-0387-4577-9770-dc108755045b;True;0;True;
1911b101-608e-4364-bd5c-bfe45292e22a;Embossing Tools & Tool Sets;arts-crafts-sewing-craft-supplies-materials-paper-craft-supplies-embossing-supplies-embossing-tools-tool-sets;;df06dc40-0387-4577-9770-dc108755045b;True;0;True;
